win stay lose shift,** wait when safe,** binary energy state,weather type,* $\mathit{r}$ predator,* $\mathit{p}$ gain,expected gain naive,** $\mathit{p}$ success,marginal value,multi-heuristic policy,optimal policy values
445.9158129226531,415.4677014811399,434.1902891671913,448.1421750433964,445.2854745483745,395.7759951230173,422.9043002051019,408.32184356831397,422.91225497073253,370.0648568433986,399.861387609168
450.2576363853647,408.8892584672934,443.0457876620814,482.3911284368626,482.58276337313475,475.8107755658988,474.63366350181514,470.7473937976257,477.780534992478,371.4548862109905,384.55974817884766
438.9459545907642,437.2691388930331,426.0909360027296,455.4582652455134,455.05239689451577,452.35513771011654,458.85647197106204,456.8970303019319,456.39667443891267,401.17025319202054,421.34429571428484
453.1282536980375,400.09122935248985,428.0482977175583,462.9574779303274,462.8511559981977,445.364627933018,446.06036976265057,429.42043147410016,415.59062213511424,317.53831679949155,263.3017882722325
458.1487708524511,362.7910452090782,461.3946275644911,493.99959487279307,492.7813749786691,495.32232799158993,493.3200574421282,490.3285872338919,486.0266487893554,322.21044660336497,323.9760226953127
462.54101235392454,476.59037722675293,359.4970010220612,498.1665931128162,491.3136508182033,498.53789135866106,493.0847329053165,488.1316562036436,484.6170075212416,326.26740832841006,378.05209071651507
440.95456174179674,416.7901501791156,422.0412663648659,465.5656408902787,465.31580753732646,449.7058833207879,465.2651745765679,455.88431689040897,456.68974834308284,359.09717912155656,376.3211631971757
556.0156275304792,434.71655065484396,520.9631934380703,554.7740711437006,557.5749178216754,566.8594693598225,562.1576148304342,559.7346853211765,543.1043503994762,379.2884586553414,352.1294491253759
479.2531825748033,476.28821908072416,434.77633106281644,504.53440960823696,504.4044466026212,483.5474701742887,483.5080886426062,477.8933031832905,487.54715282590803,363.04548272615864,422.9864282066592
494.64399692905965,446.1452056539376,447.5498344725632,498.3798708309048,486.09813068668944,483.31242837298987,453.9455301228172,455.3067971592914,441.206789483773,349.7627919485573,352.88942047712555
470.33636599882766,447.2117147336506,421.24208612590274,474.12405423813505,475.51120192374606,458.74312097081054,443.5615780559445,439.9091769523593,462.59967570745573,342.4013385831862,385.396449958664
502.8904292012709,483.0014750731067,470.9282091932465,530.6200203439674,522.6458210350206,509.1196688053422,481.19256677168784,470.9462081057777,488.99249761633337,355.4785959282106,378.9605199338516
481.7297293413732,459.5053514913553,456.63283169358374,490.6708317350457,469.8761712845276,475.88056265419976,442.7457128090428,428.6639667101515,416.3487662891573,363.31689722858215,330.4690978083871
475.26810137026746,473.14733125885266,358.3262963191496,495.8861690714905,494.2552348025391,500.74750263768976,489.5341286509798,491.7006723797431,486.2394195635027,316.0914774181392,353.54079644958324
480.8468666729271,419.4348167406885,419.9208639328332,493.7725838283777,482.6636942251587,486.8024141760796,476.85360170020766,464.47602345677626,461.0118994483749,334.81397110474296,334.6064622709081
493.6409187150133,494.9448277013255,400.1742503464852,494.0873374137524,494.11301269200874,465.98500994070224,463.7205321705966,467.62348768154334,458.76304356237085,371.22706109211157,454.283719934604
459.18320981940735,394.9144125151661,456.96473502645995,463.65268965252153,458.43775866798137,456.65410216006103,462.88254755636785,462.4302273723755,463.7302119659536,411.6254857924042,407.05538099189073
537.3236385418509,510.0485530872648,502.99002265462707,557.4575072907971,569.4652307812815,567.5360330756967,562.6593078675065,556.1837168205928,561.024536927841,425.2218716159344,440.75032545963035
492.34150720687774,424.06026402462743,460.98954153623777,514.546445154471,513.6492125717574,503.7913264861224,504.0841706756746,495.11193405085453,495.82461404216144,353.114820624937,358.287277313118
479.14890548656655,408.9587351885017,444.2659028429699,492.070555330872,487.46101989535043,457.77300283552063,482.3615886988508,469.76723551018415,480.3119380366147,333.95737583029245,339.7304877391257
304.77880262006,305.20857241450295,304.28822833129067,304.62351959641035,305.09725045977103,303.35793194689523,301.18611257255293,302.6097753340391,302.2463623989667,305.22133958527155,305.0694409026434
527.6506887771515,495.4969212170211,513.1343734239638,522.7459035570729,528.7474912457988,501.0364896212546,506.18110165830416,489.28219352654617,514.7583231825877,432.68806789652814,479.59037327190157
486.8205035937028,382.69088562220804,457.46921190800333,483.15779463552064,463.84941115393286,462.17397057064176,495.8240530812708,491.9707077596186,490.9356015306425,326.90183400386906,351.96102904241997
541.2056641121236,515.7263901341744,521.6348174693794,563.3224534259983,538.5570363364513,557.0249258087404,529.2489166596445,520.9603740179284,482.955208425738,430.92529996385,414.8217861493
508.4808730509318,449.62111121275717,453.9042540180997,534.6374323547392,535.0277367918543,519.6102195111328,525.9128633120899,516.7795775494056,521.2008017869802,329.1645451100443,354.33603835730975
457.9973343572164,416.9942121896424,433.51254831544014,467.9263850581001,468.2390088343031,457.46772943247635,463.6047604121457,455.91440549725576,442.0856576020331,369.0300976543215,359.67314868864463
500.5824714328583,439.9424314508562,446.10908486398796,514.5477129007722,509.1409983796028,497.02979597872115,484.1846483069987,476.8266495467422,465.0714004536349,311.68616937409706,320.41264558196406
461.95515288681725,467.6013119398251,448.7625608946162,463.5966914766341,478.1585522346354,442.5617644281174,436.6450945136952,423.26859983791167,432.21396570173863,394.84308197576024,416.02820339735433
458.4243367478496,444.649089695143,448.13478645748614,464.50677306763595,447.00337569925705,398.3448512479842,439.8677048074725,428.55914938081673,462.48782853022914,409.3509996886807,426.90759977528745
