gen_model,fit_model,sim_idx,gen_idx,loo_elpd,rhat_max,ess_min
win stay lose shift,win stay lose shift,9,0,-6580.34098521805,1.0157425246891665,249.13889632853247
win stay lose shift,** wait when safe,9,0,-6703.960885393405,1.0119163420588229,348.1799436544702
win stay lose shift,** binary energy state,9,0,-6699.407224510866,1.0189215117361803,249.92940291973844
win stay lose shift,weather type,9,0,-6709.163099294159,1.0073817686647304,246.1616428966767
win stay lose shift,* $\mathit{r}$ predator,9,0,-6708.939339959425,1.0193517183279044,237.50249489549407
win stay lose shift,* $\mathit{p}$ gain,9,0,-6709.167433266633,1.0260286107036998,205.4160837516979
win stay lose shift,expected gain naive,9,0,-6709.031405821477,1.0189449236594559,138.1060732922333
win stay lose shift,marginal value,9,0,-6709.320160560489,1.0075718966843616,209.9144292648344
win stay lose shift,multi-heuristic policy,9,0,-6703.768283734952,1.0074959995777952,497.9592168109333
win stay lose shift,optimal policy values,9,0,-6706.587952452364,1.0091803294726651,242.13160056255464
win stay lose shift,win stay lose shift,10,0,-6809.961453103901,1.0057805204009678,488.3653403768876
win stay lose shift,** wait when safe,10,0,-6994.829680490714,1.0052123512438413,363.3469863228897
win stay lose shift,** binary energy state,10,0,-6991.323210927736,1.009072448930986,347.9558367275581
win stay lose shift,weather type,10,0,-6997.356146469632,1.0074372247981027,616.9946255516402
win stay lose shift,* $\mathit{r}$ predator,10,0,-6997.330460837547,1.006733217720685,471.7856130053866
win stay lose shift,* $\mathit{p}$ gain,10,0,-6997.0774897385845,1.0108025864993733,327.8516101512167
win stay lose shift,expected gain naive,10,0,-6995.060648483113,1.007985962574517,413.6027355067963
win stay lose shift,marginal value,10,0,-6996.858329896873,1.0057115036290252,584.9923193403869
win stay lose shift,multi-heuristic policy,10,0,-6995.323500368956,1.010991970489945,286.9433302614587
win stay lose shift,optimal policy values,10,0,-6995.537639312271,1.008496250929164,382.791224492942
win stay lose shift,win stay lose shift,11,0,-6408.233115634959,1.0233143090375025,279.03379447480086
win stay lose shift,** wait when safe,11,0,-6658.302481732041,1.0092554742242685,306.61746693347465
win stay lose shift,** binary energy state,11,0,-6644.370604264189,1.019277757087454,227.92845245559627
win stay lose shift,weather type,11,0,-6663.607472970394,1.0294962590920347,178.32807333244844
win stay lose shift,* $\mathit{r}$ predator,11,0,-6663.177681788689,1.0057876037917823,325.33939127872975
win stay lose shift,* $\mathit{p}$ gain,11,0,-6662.991012931235,1.032327350135148,227.18427312580076
win stay lose shift,expected gain naive,11,0,-6663.43325813053,1.0073492002529896,225.76209643574245
win stay lose shift,marginal value,11,0,-6661.335188300109,1.0097006639577104,254.55893420817102
win stay lose shift,multi-heuristic policy,11,0,-6642.29367188178,1.016958838439197,391.95112288713227
win stay lose shift,optimal policy values,11,0,-6649.609149221744,1.0080370742017146,233.97894888455806
win stay lose shift,win stay lose shift,12,0,-6789.707186121815,1.0044373873979326,764.9806817333259
win stay lose shift,** wait when safe,12,0,-6934.293213599169,1.010448022431232,734.720025946768
win stay lose shift,** binary energy state,12,0,-6934.701588122116,1.0079398351141209,365.3090402176297
win stay lose shift,weather type,12,0,-6941.60995718857,1.0116675979077894,363.2809558633786
win stay lose shift,* $\mathit{r}$ predator,12,0,-6942.2714674205745,1.0095165115742826,433.5867216900201
win stay lose shift,* $\mathit{p}$ gain,12,0,-6941.804822207714,1.0246416168071182,238.558654238696
win stay lose shift,expected gain naive,12,0,-6941.5874265978455,1.0086556882156075,403.077290963326
win stay lose shift,marginal value,12,0,-6941.38084921124,1.005276963519422,479.9539093234312
win stay lose shift,multi-heuristic policy,12,0,-6936.47611076016,1.0163503443241266,415.6768012035815
win stay lose shift,optimal policy values,12,0,-6934.409556329927,1.0201652844307716,383.75191650327645
win stay lose shift,win stay lose shift,13,0,-6443.27496207744,1.0074322762943533,541.1691728968145
win stay lose shift,** wait when safe,13,0,-6678.852099478303,1.0044700195049794,435.1546356922969
win stay lose shift,** binary energy state,13,0,-6674.960740364185,1.0208335790195973,195.63279874303143
win stay lose shift,weather type,13,0,-6686.955283386042,1.0331169903907533,116.34972646708522
win stay lose shift,* $\mathit{r}$ predator,13,0,-6684.953273012012,1.0178983001016901,216.31834793195608
win stay lose shift,* $\mathit{p}$ gain,13,0,-6685.887515219099,1.016339157988477,240.5788442933364
win stay lose shift,expected gain naive,13,0,-6684.348781754424,1.032785169200781,191.04651218720002
win stay lose shift,marginal value,13,0,-6686.092057812565,1.015207108405074,175.4029840395262
win stay lose shift,multi-heuristic policy,13,0,-6675.933348747098,1.0134166144068275,368.33949191118387
win stay lose shift,optimal policy values,13,0,-6681.9246794756,1.0086021879597151,198.66573869044015
win stay lose shift,win stay lose shift,14,0,-6648.625319774879,1.0048997281420153,423.50075690926036
win stay lose shift,** wait when safe,14,0,-6846.404774405657,1.0103445196268666,274.1763179781796
win stay lose shift,** binary energy state,14,0,-6844.354100420875,1.0137468810773478,368.12298039849145
win stay lose shift,weather type,14,0,-6849.611245036755,1.0085389998010645,328.02845937067207
win stay lose shift,* $\mathit{r}$ predator,14,0,-6847.31919554464,1.0215207484733948,263.2693610531687
win stay lose shift,* $\mathit{p}$ gain,14,0,-6845.389915517983,1.0103132564094273,287.92151452787374
win stay lose shift,expected gain naive,14,0,-6846.010806718514,1.0081231427949453,315.6903563273198
win stay lose shift,marginal value,14,0,-6848.669825356887,1.0154141736282365,322.8288997307259
win stay lose shift,multi-heuristic policy,14,0,-6847.57124312286,1.0114507453725148,276.9750119457894
win stay lose shift,optimal policy values,14,0,-6844.871170417206,1.0091216306913167,242.0295853559423
win stay lose shift,win stay lose shift,15,0,-6684.764374070324,1.0065298832636005,682.2088143067359
win stay lose shift,** wait when safe,15,0,-6949.353640947253,1.0086032329761037,323.8576121752661
win stay lose shift,** binary energy state,15,0,-6945.252325755282,1.010850086974059,363.93547819289506
win stay lose shift,weather type,15,0,-6954.583637121023,1.0158827140535436,439.70703111155996
win stay lose shift,* $\mathit{r}$ predator,15,0,-6954.925145410311,1.0128676584948257,354.7900188424648
win stay lose shift,* $\mathit{p}$ gain,15,0,-6954.437240571431,1.0167308942108646,428.6299056916657
win stay lose shift,expected gain naive,15,0,-6954.420202607063,1.0105816674820238,390.1791922078722
win stay lose shift,marginal value,15,0,-6954.610313778747,1.003785740689927,692.3018580409619
win stay lose shift,multi-heuristic policy,15,0,-6949.508991315553,1.0121407578876749,281.4235162024325
