foraenv1,foraenv1,foraenv1,foraenv1,foraenv1,foraenv1,foraenv1,foraenv2,foraenv2,foraenv2,foraenv2,foraenv2,foraenv2,foraenv2,waitenv1,waitenv1,waitenv1,waitenv1,waitenv1,waitenv1,waitenv1,waitenv2,waitenv2,waitenv2,waitenv2,waitenv2,waitenv2,waitenv2
-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.0,-0.6,-0.6,0.0,0.0,0.0,0.0,-1.0,-0.6666666666666667,-0.6666666666666667,-0.3333333333333333,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
-1.0,-0.6,-0.6,-0.38,0.0,0.0,0.0,-1.0,-0.6666666666666667,-0.6666666666666667,-0.5444444444444444,-0.2111111111111111,0.0,0.0,-1.0,-1.0,-0.6333333333333333,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.6333333333333333,0.0,0.0,0.0,0.0
-1.0,-0.6,-0.6,-0.38,-0.37,0.0,0.0,-1.0,-0.6666666666666667,-0.6666666666666667,-0.5444444444444444,-0.41666666666666663,-0.20555555555555555,0.0,-1.0,-1.0,-0.6333333333333333,-0.6166666666666667,0.0,0.0,0.0,-1.0,-1.0,-0.6333333333333333,-0.6166666666666667,0.0,0.0,0.0
-1.0,-0.7848888888888889,-0.6,-0.38,-0.37,-0.2773333333333333,0.0,-1.0,-0.8207407407407408,-0.6666666666666667,-0.5444444444444444,-0.41666666666666663,-0.35962962962962963,-0.15407407407407406,-1.0,-1.0,-0.6333333333333333,-0.6166666666666667,-0.4622222222222222,0.0,0.0,-1.0,-1.0,-0.6333333333333333,-0.6166666666666667,-0.4622222222222222,0.0,0.0
-1.0,-0.7848888888888889,-0.7573333333333333,-0.4816888888888889,-0.37,-0.2773333333333333,-0.236,-1.0,-0.8207407407407408,-0.7977777777777778,-0.6009382716049383,-0.4731604938271605,-0.35962962962962963,-0.2851851851851852,-1.0,-1.0,-0.8028148148148149,-0.6166666666666667,-0.4622222222222222,-0.3933333333333333,0.0,-1.0,-1.0,-0.8028148148148149,-0.6166666666666667,-0.4622222222222222,-0.3933333333333333,0.0
-1.0,-0.8165254320987654,-0.7664444444444445,-0.6090814814814816,-0.46653333333333336,-0.32478814814814816,-0.24966666666666665,-1.0,-0.8471045267489713,-0.8053703703703704,-0.7070987654320987,-0.5267901234567901,-0.4396230452674897,-0.3191415637860082,-1.0,-1.0,-0.8028148148148149,-0.7775555555555556,-0.5413135802469136,-0.4161111111111111,-0.3184814814814815,-1.0,-1.0,-0.8028148148148149,-0.7775555555555556,-0.5413135802469136,-0.4161111111111111,-0.3184814814814815
-1.0,-0.863236049382716,-0.7986646913580246,-0.6472688395061728,-0.5844074074074074,-0.5084837037037037,-0.41162666666666664,-1.0,-0.8860300411522635,-0.8322205761316873,-0.7340882030178326,-0.6335062277091907,-0.5755979423868313,-0.4796086419753086,-1.0,-1.0,-0.8318149794238683,-0.7846296296296297,-0.6580901234567902,-0.49666172839506173,-0.37044962962962963,-1.0,-1.0,-0.8318149794238683,-0.7846296296296297,-0.6580901234567902,-0.49666172839506173,-0.37044962962962963
-1.0,-0.8762714085048011,-0.8435827270233196,-0.7234445185185185,-0.6373237530864198,-0.5625869646090534,-0.5135539423868314,-1.0,-0.8968928404206676,-0.8696522725194331,-0.7904315912208505,-0.6867741700960219,-0.6254559954275263,-0.5566949894833104,-1.0,-1.0,-0.8746330452674898,-0.8152398353909465,-0.6906785212620027,-0.6089568175582991,-0.49666172839506173,-1.0,-1.0,-0.8746330452674898,-0.8152398353909465,-0.6906785212620027,-0.6089568175582991,-0.49666172839506173
-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
