env1,env1,env1,env1,env1,env1,env1,env2,env2,env2,env2,env2,env2,env2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.36,-0.64,-0.4,0.0,0.0,0.0
0.0,0.5,0.07000000000000006,-0.28500000000000003,0.0,0.0,0.0,0.0,0.36,-0.06999999999999995,-0.5367999999999999,-0.228,0.0,0.0
0.0,0.23249999999999993,0.07000000000000006,0.25,-0.2675,0.0,0.0,0.0,0.1674,-0.06999999999999995,-0.0017999999999999128,-0.3564,-0.21400000000000002,0.0
0.0,0.23249999999999993,0.09504999999999997,0.134975,0.14250000000000002,-0.20500000000000002,0.0,0.0,0.1674,0.012449999999999961,-0.05701199999999995,-0.03842000000000001,-0.3124,-0.16400000000000003
0.0,0.1268499999999999,0.06629375000000004,0.17690000000000006,0.09436249999999996,0.10499375,-0.169375,0.0,0.09133199999999997,-0.008254499999999942,0.03233800000000009,-0.03161950000000002,-0.07197300000000006,-0.268305
0.0,0.11654843749999999,0.07006850000000009,0.11128300000000002,0.11510287499999994,0.09949075000000007,0.07608749999999997,0.0,0.08391487500000006,0.019903840000000117,0.001765715000000001,-0.001790475000000069,-0.04043343999999993,-0.07129877500000004
0.0,0.07703858499999994,0.044578959999999945,0.10397387687500004,0.10212441500000002,0.10483549125000002,-0.045583593749999984,0.0,0.055467781199999955,0.004031987449999885,0.019691784999999906,0.014039035799999877,-0.014085848699999959,-0.14311210199999996
0.0,0.0622685649875,0.041701817368750116,0.08244094052499995,0.08050265561249992,0.07495910506875003,0.020270358325000015,0.0,0.04483336679099992,0.01147441723750009,0.016536698813000017,0.009063929421499917,-0.019480620685000005,-0.07188638785400003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.4444444444444444,-0.5555555555555556,-0.3333333333333333,0.0,0.0,0.0,0.0,0.27,-0.73,-0.1,0.0,0.0,0.0
0.0,0.4444444444444444,0.0872222222222222,-0.47617283950617284,-0.21425925925925926,0.0,0.0,0.0,0.27,-0.0872222222222222,-0.50495,-0.06427777777777778,0.0,0.0
0.0,0.4444444444444444,0.0872222222222222,0.12299382716049378,-0.3474074074074074,-0.19972222222222222,0.0,0.0,0.27,-0.0872222222222222,0.09421666666666662,-0.44175277777777777,-0.059916666666666674,0.0
0.0,0.226417146776406,0.0872222222222222,0.12299382716049378,0.14315401234567904,-0.30873587105624145,-0.1635204732510288,0.0,0.13754841666666673,-0.0872222222222222,0.09421666666666662,0.04880864197530865,-0.3689703611111111,-0.04905614197530865
0.0,0.226417146776406,0.08709273268175577,0.08405172927145244,0.08474086551211707,0.08584422153635113,-0.25120493827160495,0.0,0.13754841666666673,-0.01851940672153629,-0.016184180848765495,0.031284697925240024,0.02560973148148149,-0.29764160030864195
0.0,0.19682631020847086,0.07021782359650452,0.10875452961629328,0.11236376217421118,0.050582620270559264,0.05701759584349442,0.0,0.1195719834516461,-0.02877091399082643,0.06762966307956098,-0.012577556517584965,0.004102847561156864,0.010633393918905276
0.0,0.13943166418237385,0.06359688830601484,0.08241660394531325,0.0961310158918639,-0.0480847363261494,-0.0704457173777337,0.0,0.0847047359907922,-0.02345805548489399,0.043168174871139664,0.026508979465462712,-0.09204498345034007,-0.061383549359700584
0.0,0.12439292574578442,0.05461679639741901,0.05670248861669258,0.06404660215550506,0.014840682614443046,-0.058050955001959115,0.0,0.07556870239056401,-0.010807064722551774,0.015346466416645832,0.011615625287966225,-0.01912010485805693,-0.07418228235929925
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.4,-0.6,0.0,0.0,0.0,0.0,0.0,0.33333333333333326,-0.6666666666666667,-0.3333333333333333,0.0,0.0,0.0
0.0,0.4,0.033333333333333326,-0.38,0.0,0.0,0.0,0.0,0.33333333333333326,-0.03333333333333344,-0.5444444444444444,-0.2111111111111111,0.0,0.0
0.0,0.4,0.033333333333333326,0.2366666666666667,-0.37,0.0,0.0,0.0,0.33333333333333326,-0.03333333333333344,0.0722222222222223,-0.41666666666666663,-0.20555555555555555,0.0
0.0,0.21511111111111114,0.033333333333333326,0.2366666666666667,0.0922222222222222,-0.2773333333333333,0.0,0.0,0.17925925925925923,-0.03333333333333344,0.0722222222222223,0.04555555555555557,-0.35962962962962963,-0.15407407407407406
0.0,0.21511111111111114,0.04548148148148157,0.1349777777777778,0.0922222222222222,0.11599999999999999,-0.236,0.0,0.17925925925925923,0.005037037037037062,0.015728395061728406,-0.010938271604938321,0.03370370370370368,-0.2851851851851852
0.0,0.18347456790123462,0.036370370370370386,0.168474074074074,0.0747802469135802,0.09132296296296294,0.06881481481481483,0.0,0.1528954732510287,-0.002555555555555533,0.07045679012345685,0.014523456790123457,-0.02351193415637859,-0.0006600823045267434
0.0,0.13676395061728397,0.033150288065843636,0.13736079012345692,0.07368271604938281,-0.01182197530864193,-0.04117703703703701,0.0,0.11396995884773653,-0.0004055967078190337,0.05054142661179706,0.02458389574759945,-0.07893621399176953,-0.10915901234567899
0.0,0.12372859149519888,0.03105031824417015,0.09179531687242792,0.053354768175582934,0.04636985294924567,-0.016892213991769656,0.0,0.10310715957933236,0.004980772748056639,0.024808244170095972,0.0039043511659807573,-0.016499177869227166,-0.06003326108824869
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
